,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_estimator__C,param_estimator__epsilon,param_estimator__gamma,params
0,-62.54467888481399,-73.28774960229529,-65.8874274003331,-58.64795861528577,-85.65039068505304,-69.190349695934,9.523366899456208,1,-0.1935034594989154,-0.19430071591304382,-0.19398287874276232,-0.19312019461661697,-0.19274479202536143,-0.19353040815934,0.0005629027900407398,9.154766035079955,1.5228396737100698,0.6814098834991456,0.14595000088658827,247.26125556865946,0.4730315497900228,8.04994211436911,"{'estimator__C': 247.26125556865946, 'estimator__epsilon': 0.4730315497900228, 'estimator__gamma': 8.04994211436911}"
1,-39.64569009738287,-48.39752383143835,-40.183854249428485,-35.9879296320627,-56.07431904001389,-44.04905663698606,7.245635951890386,1,-0.49170192789597517,-0.49069242195491086,-0.49220450693145884,-0.4897142361394509,-0.4886217512195685,-0.49058696882827285,0.0013034129196480898,8.325239658355713,0.6683004385266814,0.537493085861206,0.08435633474498618,167.08939649982057,0.7936474378640292,5.7932211936752696,"{'estimator__C': 167.08939649982057, 'estimator__epsilon': 0.7936474378640292, 'estimator__gamma': 5.7932211936752696}"
2,-69.21548887980258,-80.47101163579231,-73.65252025955883,-65.42796079436951,-93.7043665106686,-76.47974111157482,9.950476578663814,1,-0.22896401155121443,-0.22984892485138184,-0.22919889376666994,-0.2284973292216052,-0.2280551121917567,-0.2289128543165256,0.0006113994329466777,8.081978464126587,0.4887303518355465,0.5736719608306885,0.007844067065108883,396.286802134259,0.5144301145426279,8.610832421583524,"{'estimator__C': 396.286802134259, 'estimator__epsilon': 0.5144301145426279, 'estimator__gamma': 8.610832421583524}"
3,-203.59282773670867,-220.43567355314204,-197.24850840241209,-189.37920940108424,-225.0146241336267,-207.12710010066684,13.567836759083272,1,-156.1659780377819,-150.40832041116843,-155.2966919906361,-157.41394399775547,-148.80701206058305,-153.61838929958498,3.381332192285965,4.51801643371582,0.32191187587544334,0.5782693862915039,0.0834953668989378,3.637336939309222,0.9870331760187374,9.49790992862205,"{'estimator__C': 3.637336939309222, 'estimator__epsilon': 0.9870331760187374, 'estimator__gamma': 9.49790992862205}"
4,-32.271649877946494,-41.13942181149661,-32.65185532068111,-29.55491661738673,-46.51369582692401,-36.41801516032224,6.363330561625636,1,-0.00040635420515068436,-0.0004058242766514164,-0.0004062916858861743,-0.0004062032983327956,-0.0004055995648568138,-0.0004060546061755769,2.926397048120365e-07,18.037686395645142,0.25387211933178816,0.6080521583557129,0.020941100959150354,147.69631067930672,0.020321803647820883,5.223942042101715,"{'estimator__C': 147.69631067930672, 'estimator__epsilon': 0.020321803647820883, 'estimator__gamma': 5.223942042101715}"
5,-36.345304003724294,-45.293609981811926,-36.75141969561866,-33.16861162408904,-51.95470872078737,-40.69403334652066,6.910255200869419,1,-0.09313236849303515,-0.09287006436823737,-0.09291484957254187,-0.09304146725803313,-0.09263356102565946,-0.0929184621435014,0.000169947184053662,10.761246824264527,0.10900228531535609,0.4873210430145264,0.008703661805502657,919.0207361300351,0.32946500464625833,5.594549372802238,"{'estimator__C': 919.0207361300351, 'estimator__epsilon': 0.32946500464625833, 'estimator__gamma': 5.594549372802238}"
6,-72.05366623364006,-83.63022008934526,-77.05039460259303,-68.42377934407882,-97.17470106641402,-79.6513568859097,10.12915199802234,1,-0.15564140561236456,-0.15623443568210615,-0.15573083607680702,-0.15533985016613516,-0.15504893423030106,-0.1555990923535428,0.0003981679138108376,7.7097917079925535,0.2337471526195317,0.5318957805633545,0.015655010149489765,905.1710849560387,0.42000158825965583,8.883322872274436,"{'estimator__C': 905.1710849560387, 'estimator__epsilon': 0.42000158825965583, 'estimator__gamma': 8.883322872274436}"
7,-24.530649139822195,-31.686878497482823,-25.33690550707056,-22.303179538428427,-34.640677550136814,-27.693332679508792,4.662739330442848,1,-0.5880976447416846,-0.58908823990907,-0.5900706242645861,-0.592362854533142,-0.5860116515642303,-0.5891262030025426,0.002103694303128173,10.264530754089355,0.15427815189918495,0.4673327922821045,0.015593737046666362,993.0929003941153,0.8967027020288408,3.95210666281209,"{'estimator__C': 993.0929003941153, 'estimator__epsilon': 0.8967027020288408, 'estimator__gamma': 3.95210666281209}"
8,-66.04353901769319,-77.32757668840617,-70.16824096944771,-62.4774702508686,-90.18541411621248,-73.2260831203204,9.802735612912892,1,-0.06082240740157152,-0.06874600687504898,-0.07115166338737143,-0.06227089273126988,-0.021742284088902906,-0.05694665089683294,0.018020675144399527,8.964673852920532,0.25003926709905033,0.6506281852722168,0.03276541076737065,45.67758224336565,0.06567857823295177,8.473362696252039,"{'estimator__C': 45.67758224336565, 'estimator__epsilon': 0.06567857823295177, 'estimator__gamma': 8.473362696252039}"
9,-69.696912847088,-80.99632032336888,-74.21874574028021,-65.9259944251349,-94.28422511804087,-77.00981388869936,9.979539337974817,1,-0.22705439347486867,-0.22791651695290255,-0.2272626000463023,-0.2265868332486766,-0.2261533436668376,-0.22699473747791754,0.0005998859890969019,8.121755695343017,0.4003504632545026,0.8011420726776123,0.17599333977999565,740.5232462600615,0.512026398616668,8.65266674182703,"{'estimator__C': 740.5232462600615, 'estimator__epsilon': 0.512026398616668, 'estimator__gamma': 8.65266674182703}"
