,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params
0,-91.01392133257279,-61.81112453823449,-79.43006354235533,-76.2694362561928,-85.0441163292393,-78.738283675034,9.839674888397582,1,-58.331370243128056,-59.05627462381586,-58.155374448676,-56.27577422439774,-57.79900094938037,-57.9235588978796,0.9201958999456308,0.6116513252258301,0.009440104039600012,0.00879526138305664,0.0018322421050896247,4,2,4,46,"{'max_depth': 4, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 46}"
1,-59.32973730546928,-40.585989659450306,-53.45204550030703,-47.71414814979038,-61.44816890948768,-52.51963810330526,7.646558335574783,1,-28.18687753649853,-28.14053069351442,-28.554067557673775,-27.573327890300046,-27.845508000322805,-28.060062335661918,0.3315244770053126,7.362390422821045,0.07480052706198428,0.07395811080932617,0.01846082061644429,7,5,2,464,"{'max_depth': 7, 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 464}"
2,-163.0062783820615,-123.30316837504358,-127.46252951136583,-137.54759204327942,-146.60118214391298,-139.63090084620438,14.264828144798216,1,-126.20317082809491,-134.67301603002662,-125.82748465419287,-130.00535898679362,-128.74310775530208,-129.090427650882,3.197063416031418,4.213590335845947,0.023017362019662185,0.07395815849304199,0.011021043258161993,2,1,5,733,"{'max_depth': 2, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 733}"
3,-54.222152489087605,-35.90108464452992,-46.6947561193998,-42.36564068736867,-56.54106835051993,-47.159066629899556,7.586397703218707,1,-20.804363675378816,-21.473206024625,-20.774210407720656,-20.31763889024051,-20.620930086021346,-20.798069816797263,0.37910688270958415,12.520038843154907,0.21513444078693766,0.10334100723266601,0.030079761303617614,12,4,2,695,"{'max_depth': 12, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 695}"
4,-53.959313051159015,-36.41517980698516,-46.67974536417568,-43.63582484347173,-55.78789681257577,-47.308892816143505,7.051621986670904,1,-20.840770258694683,-21.6092980914126,-20.742423173461667,-20.377265201742574,-20.880535959424442,-20.89005853694719,0.4011430557158262,3.7680460453033446,0.14652902386435426,0.024185752868652342,0.005188880430413131,18,4,3,209,"{'max_depth': 18, 'min_samples_leaf': 4, 'min_samples_split': 3, 'n_estimators': 209}"
5,-46.19733774165008,-31.758703379746013,-39.444378035556845,-37.246062038947876,-50.28010407456785,-40.99572028899903,6.555707175253265,1,-10.446092404863828,-10.981636038199943,-10.331198521599823,-10.380163208250684,-10.524886852224062,-10.532795405027668,0.23365605506048187,23.809387016296387,0.19979406721101012,0.16770520210266113,0.0382271832465456,17,2,2,929,"{'max_depth': 17, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 929}"
6,-46.614382829113836,-30.48294256291739,-39.15901523089759,-37.8067246678792,-49.31915624364797,-40.68829647959025,6.697823856256101,1,-10.567318827031217,-10.847905604414725,-10.524187069312434,-10.293839425359991,-10.322610301497884,-10.51117224552325,0.1997500141168307,13.603023481369018,0.13226012217057137,0.08855175971984863,0.024468851295257124,17,2,2,524,"{'max_depth': 17, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 524}"
7,-57.49827844432263,-35.34638395090587,-49.176339804151006,-43.909322218908294,-56.766993288569985,-48.557345407445304,8.294176840092485,1,-21.791021076812562,-21.72389079389217,-21.344319983594346,-20.617448436933294,-20.96532196167173,-21.288400450580824,0.44720524187825167,1.3050543785095214,0.0274760023884226,0.012394046783447266,0.0035535772419664872,18,4,3,70,"{'max_depth': 18, 'min_samples_leaf': 4, 'min_samples_split': 3, 'n_estimators': 70}"
8,-49.89245816447409,-33.38446663749363,-42.62822209730203,-39.59789246225782,-53.761748913086294,-43.865012546159406,7.2621101195121565,1,-15.826287204642476,-16.238833459310225,-15.702888965812086,-15.641667302995788,-15.569875361278383,-15.795910458807791,0.23691321012164307,18.4086754322052,0.14764109229035907,0.14192075729370118,0.028218876169399394,12,3,4,883,"{'max_depth': 12, 'min_samples_leaf': 3, 'min_samples_split': 4, 'n_estimators': 883}"
9,-49.25137920396683,-33.28069540887595,-43.07179907796489,-39.86795448591722,-53.93166847911665,-43.89141925107409,7.193789922291964,1,-16.00858192865482,-16.2975208178339,-16.02196780678646,-15.706331578348408,-15.755492085611237,-15.957978843446966,0.21273046098892465,4.607965564727783,0.05811058958360452,0.034781026840209964,0.005668305872358563,12,3,2,220,"{'max_depth': 12, 'min_samples_leaf': 3, 'min_samples_split': 2, 'n_estimators': 220}"
10,-55.52751655537129,-39.532441383024995,-42.114143571437495,-42.999303473750004,-57.88861328803056,-47.62820228286788,7.551183749265075,1,-8.661992979025,-9.969377441776807,-9.590929256764337,-8.468702958622194,-7.734161927093031,-8.885032912656275,0.8027046996860466,0.4235535621643066,0.018583634859799653,0.0027985572814941406,0.00039958956702512217,16,1,2,10,"{'max_depth': 16, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 10}"
